file,run,pigz_level,sample_percent,simulation_engine,original_bytes,prepared_bytes,compressed_bytes,scan_method,preprocess_ms,secondary_compress_ms,total_encode_ms,total_decode_ms,verified
"background.dds",1,7,20,libdeflate,524416,524417,288362,Scanline,115.154,497.579,612.733,652.808,true
"big-char.dds",1,7,20,libdeflate,524416,524417,364356,Z-order,107.403,410.623,518.025,1512.278,true
"bricks.dds",1,7,20,libdeflate,32896,32897,26975,Scanline,133.562,337.181,470.743,518.446,true
"iscv2_u1_v1.dds",1,7,20,libdeflate,33554560,33554561,11783604,Z-order,1738.762,5927.901,7666.663,2231.767,true
"iscv2_u1_v2.dds",1,7,20,libdeflate,33554560,33554561,9648326,Z-order,1082.474,3664.671,4747.145,1288.459,true
"iscv2_u2_v1.dds",1,7,20,libdeflate,33554560,33554561,9831124,Z-order,766.321,4423.709,5190.030,1812.396,true
"iscv2_u2_v2.dds",1,7,20,libdeflate,33554560,33554561,1116122,Z-order,704.739,644.968,1349.707,1049.579,true
"iscv2_u2_v4.dds",1,7,20,libdeflate,33554560,33554561,3716565,Z-order,980.407,2186.020,3166.427,1563.853,true
"iscv2_u3_v1.dds",1,7,20,libdeflate,33554560,33554561,10284166,Z-order,930.867,4691.816,5622.683,1927.202,true
"iscv2_u4_v1.dds",1,7,20,libdeflate,33554560,33554561,10881787,Z-order,1177.499,3094.797,4272.296,826.365,true
"kodim01.dds",1,7,20,libdeflate,196736,196737,146292,Scanline,4.618,95.552,100.170,132.259,true
"kodim02.dds",1,7,20,libdeflate,196736,196737,133761,Scanline,2.144,97.798,99.942,176.680,true
"kodim03.dds",1,7,20,libdeflate,196736,196737,124642,Scanline,3.127,213.382,216.509,183.677,true
"kodim04.dds",1,7,20,libdeflate,196736,196737,143276,Scanline,12.795,421.726,434.521,262.578,true
"kodim05.dds",1,7,20,libdeflate,196736,196737,159598,Scanline,2.736,131.809,134.544,222.684,true
"kodim06.dds",1,7,20,libdeflate,196736,196737,136318,Scanline,10.826,121.892,132.718,232.610,true
"kodim07.dds",1,7,20,libdeflate,196736,196737,131167,Scanline,4.631,175.883,180.514,220.448,true
"kodim08.dds",1,7,20,libdeflate,196736,196737,159148,Scanline,2.069,345.066,347.135,751.562,true
"kodim09.dds",1,7,20,libdeflate,196736,196737,129761,Scanline,24.104,540.881,564.985,606.146,true
"kodim10.dds",1,7,20,libdeflate,196736,196737,137986,Scanline,58.834,1049.799,1108.634,598.515,true
"kodim11.dds",1,7,20,libdeflate,196736,196737,139869,Scanline,12.633,192.097,204.730,493.123,true
"kodim12.dds",1,7,20,libdeflate,196736,196737,128360,Scanline,57.948,260.879,318.827,164.908,true
"kodim13.dds",1,7,20,libdeflate,196736,196737,161615,Scanline,36.054,236.024,272.079,200.216,true
"kodim14.dds",1,7,20,libdeflate,196736,196737,150781,Scanline,11.532,166.161,177.693,139.157,true
"kodim15.dds",1,7,20,libdeflate,196736,196737,137228,Scanline,2.450,219.080,221.530,660.653,true
"kodim16.dds",1,7,20,libdeflate,196736,196737,126091,Scanline,18.164,129.213,147.377,118.801,true
"kodim17.dds",1,7,20,libdeflate,196736,196737,139617,Scanline,5.041,192.129,197.169,116.040,true
"kodim18.dds",1,7,20,libdeflate,196736,196737,159436,Scanline,3.893,154.165,158.058,145.515,true
"kodim19.dds",1,7,20,libdeflate,196736,196737,139930,Scanline,1.995,148.472,150.467,184.630,true
"kodim20.dds",1,7,20,libdeflate,196736,196737,117601,Scanline,12.076,112.920,124.996,121.211,true
"kodim21.dds",1,7,20,libdeflate,196736,196737,139186,Scanline,5.448,169.138,174.586,115.568,true
"kodim22.dds",1,7,20,libdeflate,196736,196737,154179,Scanline,2.884,169.934,172.818,168.747,true
"kodim23.dds",1,7,20,libdeflate,196736,196737,143749,Scanline,2.404,145.440,147.844,135.121,true
"kodim24.dds",1,7,20,libdeflate,196736,196737,147000,Scanline,2.871,172.490,175.361,162.347,true
"lorikeet.dds",1,7,20,libdeflate,131200,131201,109771,Z-order,25.374,109.019,134.392,178.409,true
"mountains.dds",1,7,20,libdeflate,32896,32897,18322,Z-order,15.182,214.833,230.015,284.874,true
"satellite.dds",1,7,20,libdeflate,32896,32897,27950,Scanline,6.045,109.161,115.206,201.877,true
"small-char.dds",1,7,20,libdeflate,131200,131201,72724,Z-order,4.861,146.485,151.346,138.566,true
"spnza_bricks_a_diff.dds",1,7,20,libdeflate,524416,524417,371725,Scanline,47.202,147.411,194.613,747.935,true
"sponza_arch_diff.dds",1,7,20,libdeflate,524416,524417,294449,Scanline,18.367,497.106,515.473,116.307,true
"sponza_ceiling_a_diff.dds",1,7,20,libdeflate,524416,524417,366949,Z-order,8.848,197.716,206.565,113.960,true
"sponza_column_a_diff.dds",1,7,20,libdeflate,524416,524417,372612,Scanline,8.770,137.410,146.180,105.243,true
"sponza_column_b_diff.dds",1,7,20,libdeflate,524416,524417,393484,Scanline,28.131,136.943,165.075,112.453,true
"sponza_column_c_diff.dds",1,7,20,libdeflate,524416,524417,399315,Scanline,27.017,223.820,250.836,165.651,true
"sponza_curtain_diff.dds",1,7,20,libdeflate,2097280,2097281,1510060,Scanline,158.302,420.885,579.187,246.892,true
"sponza_details_diff.dds",1,7,20,libdeflate,524416,524417,320737,Z-order,27.676,183.784,211.460,121.991,true
"sponza_fabric_green_diff.dds",1,7,20,libdeflate,524416,524417,325823,Scanline,17.969,218.952,236.921,165.231,true
"sponza_flagpole_diff.dds",1,7,20,libdeflate,524416,524417,290666,Z-order,19.383,165.315,184.698,137.047,true
"sponza_floor_a_diff.dds",1,7,20,libdeflate,524416,524417,367043,Scanline,9.356,213.337,222.692,123.668,true
"sponza_roof_diff.dds",1,7,20,libdeflate,524416,524417,442637,Scanline,20.980,160.137,181.118,182.743,true
"un512.dds",1,7,20,libdeflate,131200,131201,102630,Scanline,11.352,296.876,308.228,240.272,true
"vase_dif.dds",1,7,20,libdeflate,524416,524417,383352,Z-order,18.649,141.137,159.786,134.353,true
"vase_hanging.dds",1,7,20,libdeflate,524416,524417,292126,Scanline,30.799,202.220,233.018,131.669,true
"vase_round.dds",1,7,20,libdeflate,524416,524417,370773,Scanline,26.347,257.910,284.257,153.869,true
"vector-streets.dds",1,7,20,libdeflate,32896,32897,7632,Z-order,15.943,78.844,94.787,117.751,true
